name,disease_description,risks,treatment_type,treatment,vaccine_schema,treatment_start,treatment_end,injection_max,contraindications,travel_advised,price
OREILLONS,"Les oreillons sont dus à un virus, transmis par voie aérienne. La maladie se traduit le plus fréquemment par une parotidite (inflammation d’une des glandes salivaires ). Des atteintes du système nerveux (méningite, encéphalite) et des glandes génitales (ovaires, testicules) peuvent être observées.",,vaccin,PRIORIX ® (vaccin trivalent : rougeole-oreillons-rubéole),https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,false,
POLIOMYÉLITE,"La poliomyélite, causée par un virus qui se fixe sur la moelle épinière, se caractérise par des paralysies plus ou moins étendues, pouvant laisser une infirmité définitive lorsqu’elles touchent les membres inférieurs. La vie est menacée lorsque les muscles respiratoires ou les centres nerveux sont atteints. La contamination se fait au contact d’une personne malade, mais des personnes apparemment bien portantes peuvent aussi éliminer le virus dans leurs selles. On peut aussi contracter la maladie par contact direct (mains) ou par l’intermédiaire d’eau de consommation ou de baignade contaminée.","Contrairement à ce que l’on croit trop souvent, on peut être atteint par la poliomyélite à tout âge. Or si cette maladie a disparu en France et dans les autres pays industrialisés ainsi que sur l’ensemble du continent américain, sa prévalence reste élevée dans un certain nombre de pays d’Afrique et d’Asie, malgré les progrès réalisés grâce à la vaccination de masse. Un adulte non immunisé court le risque de développer une forme paralytique de la maladie.",vaccin,"REVAXIS ® : Diphtérie (dose réduite),Tétanos Poliomyélite
BOOSTRIX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)
REPEVAX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)",https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,true,
RAGE,"La rage est une maladie toujours mortelle, due à un virus neurotrope, qui attaque le système nerveux et provoque une encéphalite chez les mammifères. On distingue deux formes cliniques : la rage furieuse et la rage paralytique ou muette.","La rage est très répandue dans le monde. Son principal vecteur est le chien, mais tous les mammifères peuvent la transmettre. Le virus est présent dans la salive de l’animal. Il est parfois difficile de se procurer sur place en cas de morsure, un vaccin à usage curatif, efficace et bien toléré.",vaccin,VACCIN RABIQUE PASTEUR ® (préparé sur cellules VERO).,https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,28,,28,,true,
ROUGEOLE,"La rougeole est une maladie éruptive due à un virus qui se transmet par voie aérienne ou par contact direct. Considérée à tort comme une maladie bénigne, elle peut entraîner des complications gravissimes, respiratoires ou neurologiques.",,vaccin,PRIORIX ® (vaccin trivalent : rougeole-oreillons-rubéole),https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,"Comme tout vaccin vivant atténué, le vaccin trivalent ROR est contre-indiqué chez les personnes immunodéprimées et les femmes enceintes. Cependant, la vaccination par inadvertance d’une femme enceinte ne doit pas être un motif d’interruption de grossesse. La grossesse doit être évitée dans le mois suivant la vaccination. L’allaitement n’est pas une contre-indication à la vaccination par le vaccin ROR.",true,
RUBÉOLE,"La rubéole est une maladie éruptive due à un virus qui se transmet par voie respiratoire ; généralement bénigne chez l’enfant, sa gravité réside dans les malformations qu’elle peut provoquer chez le fœtus, lorsque l’infection survient au cours de la grossesse.",,vaccin,PRIORIX ® (vaccin trivalent : rougeole-oreillons-rubéole),https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,true,
TÉTANOS,"Le tétanos est dû à une bactérie : Clostridium tetani, productrice d’une substance appelée toxine, qui se fixe sur les centres nerveux et provoque de violentes contractures musculaires pouvant entraîner la mort par blocage des muscles respiratoires. Cette bactérie se trouve dans le sol (germe tellurique).","Le risque de contracter le tétanos n’est pas augmenté par un déplacement hors de nos frontières, mais le voyage est une bonne occasion pour mettre à jour cette vaccination, souvent négligée à l’âge adulte. On trouve encore dans les tranches d’âge les plus élevées des personnes (plus souvent des femmes) qui n’ont jamais été vaccinées contre le tétanos.

",vaccin,"REVAXIS ® : Diphtérie (dose réduite),Tétanos Poliomyélite
BOOSTRIX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire).
REPEVAX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)
VACCIN TETANIQUE PASTEUR ® : Tétanos",https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,false,
TUBERCULOSE,"La tuberculose, due au Bacille de Koch, est encore très répandue dans le monde, surtout dans les pays en développement mais depuis quelques années, elle est en recrudescence dans les pays industrialisés, particulièrement chez les patients infectés par le virus du SIDA et dans les populations défavorisées.",,vaccin,,https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,true,
TYPHOÏDE,"La fièvre typhoïde est due à une bactérie : Salmonella typhi, transmise par l’eau et les aliments contaminés par des matières fécales. C’est une maladie grave qui se manifeste par une température élevée, des troubles de la conscience, et peut se compliquer d’hémorragies digestives ou de perforations intestinales.","Cette maladie est devenue rare mais reste fréquente dans les pays en développement, où les conditions sanitaires sont précaires, car , comme toutes les infections à transmission digestive, la typhoïde y est endémique. Bien que la répartition géographique soit la même que pour l’hépatite A, on distingue des régions à plus haut risque, en particulier l’Inde, et l’Afrique du Nord.",vaccin,TYPHIM VI ®,"1 injection 15 jours avant le départ pour une validité : 3 ans.
Enfants : à partir de 2 ans",15,1095,15,,true,
VARICELLE,"La varicelle est une maladie éruptive très contagieuse,  fréquente chez les enfants, causée par un virus qui se transmet par voie respiratoire, par inhalation de gouttelettes de salive émises par une personne malade ou par contact direct avec les lésions cutanées. ",,vaccin,,https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,true,
PALUDISME,,,medicament,"Chimioprophylaxie par Atovaquone/Proguanil,  ou Doxycycline,  ou Méfloquine dans les 5 provinces orientales et dans les zones rurales des autres régions signalées ;
Protection contre les piqûres de moustiques",,,,,,true,
TOURISTA,,,,,,,,,,,
