ID,Vaccine Id,Vaccine Name,Country Id,Country Name,Systematic
509,7,HÉPATITE A,166,Korea (Democratic People's Republic of),true
514,3,ENCÉPHALITE À TIQUES,168,Norway,true
516,18,TYPHOÏDE,169,Oman,true
517,8,HÉPATITE B,169,Oman,true
518,13,RAGE,169,Oman,true
519,7,HÉPATITE A,169,Oman,true
524,7,HÉPATITE A,170,Pakistan,true
529,7,HÉPATITE A,173,Panama,true
534,7,HÉPATITE A,174,Papua New Guinea,true
537,7,HÉPATITE A,175,Paraguay,true
538,8,HÉPATITE B,175,Paraguay,true
539,13,RAGE,175,Paraguay,true
540,18,TYPHOÏDE,175,Paraguay,true
545,7,HÉPATITE A,176,Peru,true
550,7,HÉPATITE A,177,Philippines,true
555,7,HÉPATITE A,178,Pitcairn,true
558,3,ENCÉPHALITE À TIQUES,179,Poland,true
560,7,HÉPATITE A,181,Puerto Rico,true
564,7,HÉPATITE A,182,Qatar,true
569,7,HÉPATITE A,185,Romania,true
574,7,HÉPATITE A,186,Russian Federation,true
579,7,HÉPATITE A,187,Rwanda,true
584,18,TYPHOÏDE,189,"Saint Helena, Ascension and Tristan da Cunha",true
586,18,TYPHOÏDE,190,Saint Kitts and Nevis,true
588,7,HÉPATITE A,191,Saint Lucia,true
591,7,HÉPATITE A,195,Samoa,true
595,7,HÉPATITE A,197,Sao Tome and Principe,true
596,5,FIÈVRE JAUNE,197,Sao Tome and Principe,true
597,8,HÉPATITE B,197,Sao Tome and Principe,true
598,18,TYPHOÏDE,197,Sao Tome and Principe,true
603,7,HÉPATITE A,198,Saudi Arabia,true
608,7,HÉPATITE A,199,Senegal,true
609,5,FIÈVRE JAUNE,199,Senegal,true
614,7,HÉPATITE A,200,Serbia,true
619,7,HÉPATITE A,201,Seychelles,true
622,7,HÉPATITE A,202,Sierra Leone,true
623,5,FIÈVRE JAUNE,202,Sierra Leone,true
628,7,HÉPATITE A,203,Singapore,true
632,7,HÉPATITE A,204,Sint Maarten (Dutch part),true
634,3,ENCÉPHALITE À TIQUES,205,Slovakia,true
636,3,ENCÉPHALITE À TIQUES,206,Slovenia,true
639,7,HÉPATITE A,208,Somalia,true
640,5,FIÈVRE JAUNE,208,Somalia,true
645,7,HÉPATITE A,209,South Africa,true
646,8,HÉPATITE B,209,South Africa,true
647,13,RAGE,209,South Africa,true
648,18,TYPHOÏDE,209,South Africa,true
653,7,HÉPATITE A,211,Korea (Republic of),true
658,7,HÉPATITE A,212,South Sudan,true
664,7,HÉPATITE A,214,Sri Lanka,true
669,7,HÉPATITE A,215,Sudan,true
675,7,HÉPATITE A,216,Suriname,true
676,5,FIÈVRE JAUNE,216,Suriname,true
680,7,HÉPATITE A,218,Swaziland,true
684,3,ENCÉPHALITE À TIQUES,219,Sweden,true
686,3,ENCÉPHALITE À TIQUES,220,Switzerland,true
688,7,HÉPATITE A,221,Syrian Arab Republic,true
690,7,HÉPATITE A,222,Taiwan,true
694,7,HÉPATITE A,223,Tajikistan,true
698,7,HÉPATITE A,224,"Tanzania, United Republic of",true
699,5,FIÈVRE JAUNE,224,"Tanzania, United Republic of",true
701,7,HÉPATITE A,225,Thailand,true
706,7,HÉPATITE A,226,Timor-Leste,true
711,7,HÉPATITE A,227,Togo,true
712,5,FIÈVRE JAUNE,227,Togo,true
717,7,HÉPATITE A,27,Bolivia (Plurinational State of),true
722,7,HÉPATITE A,57,Costa Rica,true
726,7,HÉPATITE A,70,Equatorial Guinea,true
727,5,FIÈVRE JAUNE,70,Equatorial Guinea,true
731,7,HÉPATITE A,115,Japan,true
735,7,HÉPATITE A,123,Lao People's Democratic Republic,true
740,7,HÉPATITE A,230,Trinidad and Tobago,true
744,7,HÉPATITE A,231,Tunisia,true
748,7,HÉPATITE A,232,Turkey,true
752,7,HÉPATITE A,233,Turkmenistan,true
756,7,HÉPATITE A,235,Tuvalu,true
760,7,HÉPATITE A,236,Uganda,true
761,5,FIÈVRE JAUNE,236,Uganda,true
765,7,HÉPATITE A,237,Ukraine,true
770,7,HÉPATITE A,238,United Arab Emirates,true
774,7,HÉPATITE A,241,Uruguay,true
778,7,HÉPATITE A,242,Uzbekistan,true
782,7,HÉPATITE A,243,Vanuatu,true
785,7,HÉPATITE A,244,Venezuela (Bolivarian Republic of),true
786,5,FIÈVRE JAUNE,244,Venezuela (Bolivarian Republic of),true
787,8,HÉPATITE B,244,Venezuela (Bolivarian Republic of),true
788,10,MÉNINGITE À MÉNINGOCOQUES,244,Venezuela (Bolivarian Republic of),true
789,13,RAGE,244,Venezuela (Bolivarian Republic of),true
790,18,TYPHOÏDE,244,Venezuela (Bolivarian Republic of),true
797,7,HÉPATITE A,245,Viet Nam,true
802,7,HÉPATITE A,248,Yemen,true
806,7,HÉPATITE A,249,Zambia,true
812,7,HÉPATITE A,250,Zimbabwe,true
816,7,HÉPATITE A,183,Republic of Kosovo,true
821,7,HÉPATITE A,55,Congo (Democratic Republic of the),true
822,5,FIÈVRE JAUNE,55,Congo (Democratic Republic of the),true
